rec,year,lon,lat,Dclip,Rclip,Dplane,Rplane,H,L,unit,dpHB,new_unit
CB,18,-689.0219789,2651.936186,2.40841527,1.449251412,2.403355094,1.433519648,0.203547695,0.75,U19,-4.193903581,H29
CB,18,-687.8893702,2653.219578,2.472601738,1.077227711,2.325362588,1.023297892,0.019837176,0.25,U27,-4.18824831,H61
CB,18,-687.8893702,2653.219578,2.455055779,1.257492733,2.249271292,1.051170762,0.081239649,0.5,U27,-4.18824831,H61
CB,18,-687.8893702,2653.219578,2.57970978,1.477374908,2.38448762,1.110473643,0.103500328,0.75,U27,-4.18824831,H61
CB,18,-689.2553657,2652.918432,2.430954894,1.250542025,2.229754444,1.051555615,0.044223872,0.25,U02,-4.20454008,H46
CB,18,-689.2553657,2652.918432,2.51949295,1.356916394,2.437094336,1.193270277,0.074755401,0.5,U02,-4.20454008,H46
CB,18,-689.2553657,2652.918432,2.472553279,1.455818658,2.396440561,1.262675508,0.157236797,0.75,U02,-4.20454008,H46
CB,18,-684.7702993,2652.205256,2.267845544,1.380634546,2.194839057,1.222175828,0.110478614,0.25,U21,-4.140067278,H20
CB,18,-684.7702993,2652.205256,2.299545064,1.630393909,2.237219279,1.409748934,0.261980584,0.5,U21,-4.140067278,H20
CB,18,-684.7702993,2652.205256,2.295603577,1.893677294,2.245154731,1.643099196,0.498859687,0.75,U21,-4.140067278,H20
CB,18,-684.3918422,2653.623102,2.315874991,1.244199207,2.207896089,1.105995993,0.070360797,0.25,U20,-3.915582408,H27
CB,18,-684.3918422,2653.623102,2.376087592,1.550497713,2.231810447,1.192838126,0.175344987,0.5,U20,-3.915582408,H27
CB,18,-684.3918422,2653.623102,2.482171698,1.583678223,2.31672505,1.175097647,0.175344987,0.75,U20,-3.915582408,H27
CB,18,-685.4390887,2652.798682,2.286927727,1.215068983,2.240746506,1.150845587,0.073993643,0.25,U10,-4.193477901,H47
CB,18,-685.4390887,2652.798682,2.362158265,1.272441765,2.307935474,1.180830737,0.123380129,0.5,U10,-4.193477901,H47
CB,18,-685.4390887,2652.798682,2.47076813,1.295793747,2.410907292,1.188589958,0.123380129,0.75,U10,-4.193477901,H47
CB,18,-682.6786283,2653.009242,2.295699641,4.262533093,2.151177315,2.482014688,0.428295114,0.25,U13,-4.681145275,H37
CB,18,-682.6786283,2653.009242,2.319737873,2.99271677,2.181396754,1.875510261,0.527640228,0.5,U13,-4.681145275,H37
CB,18,-682.6786283,2653.009242,2.285822697,2.315168354,2.17408481,1.649627799,0.674640641,0.75,U13,-4.681145275,H37
CB,18,-681.71099,2651.144159,2.469737301,1.520860023,2.29281934,1.140799893,0.057432772,0.25,U22,-3.745239023,H14
CB,18,-681.71099,2651.144159,2.535010784,1.660718124,2.300428009,1.117951033,0.101313375,0.5,U22,-3.745239023,H14
CB,18,-681.71099,2651.144159,2.467259723,1.794540773,2.250283602,1.168453729,0.226378108,0.75,U22,-3.745239023,H14
CB,18,-683.8083412,2649.939671,2.374579023,2.659850057,2.175357176,1.469160834,0.183511782,0.25,U18,-3.138038463,H40
CB,18,-683.8083412,2649.939671,2.413511633,2.033078742,2.287169634,1.447594608,0.22419046,0.5,U18,-3.138038463,H40
CB,18,-683.8083412,2649.939671,2.497193372,1.960202315,2.393848488,1.484343595,0.226150536,0.75,U18,-3.138038463,H40
CB,18,-684.6392876,2648.542277,2.249638728,7.123617396,1.979068413,2.498068883,0.88296053,0.25,U08,-3.857068092,H45
CB,18,-684.6392876,2648.542277,2.40610998,8.473142927,2.288454658,5.254166993,1.098945054,0.5,U08,-3.857068092,H45
CB,18,-684.6392876,2648.542277,2.381260997,5.416574747,2.327415208,4.37130792,1.156497517,0.75,U08,-3.857068092,H45
CB,18,-683.4853023,2648.659244,2.387580049,1.675377885,2.333134395,1.465887819,0.094816009,0.25,U25,-3.564300059,H15
CB,18,-683.4853023,2648.659244,2.255281094,2.384798481,2.176850743,1.855043194,0.52949407,0.5,U25,-3.564300059,H15
CB,18,-683.4853023,2648.659244,2.344425055,3.130520394,2.267690558,2.376623556,0.751152051,0.75,U25,-3.564300059,H15
CB,18,-682.7567245,2647.141304,2.343130514,2.375331067,2.163843325,1.429999194,0.182835851,0.25,U17,-3.71472541,H49
CB,18,-682.7567245,2647.141304,2.40906646,1.940614841,2.243917673,1.303948708,0.214566709,0.5,U17,-3.71472541,H49
CB,18,-682.7567245,2647.141304,2.423764599,2.221319987,2.295844579,1.535446134,0.361087783,0.75,U17,-3.71472541,H49
CB,18,-683.2533336,2647.493556,2.279288073,2.745061747,2.184314801,1.991517855,0.282908094,0.25,U04,-3.958541644,H17
CB,18,-683.2533336,2647.493556,2.36592332,2.80862633,2.306227436,2.278708156,0.4051541,0.5,U04,-3.958541644,H17
CB,18,-683.2533336,2647.493556,2.412773879,2.940458949,2.365631812,2.483149761,0.526936134,0.75,U04,-3.958541644,H17
CB,18,-683.7897392,2646.233569,2.299245208,7.012848854,2.229397883,5.286745357,0.706965015,0.25,U07,-4.255837945,H39
CB,18,-683.7897392,2646.233569,2.308510714,5.157183659,2.276585822,4.541711618,0.9916303,0.5,U07,-4.255837945,H39
CB,18,-683.7897392,2646.233569,2.369379195,4.529230371,2.343192059,4.085889671,1.00828499,0.75,U07,-4.255837945,H39
CB,18,-685.2453983,2646.6428,2.385305504,1.54588651,2.289688594,1.275692599,0.083944959,0.25,U05,-4.045867308,H18
CB,18,-685.2453983,2646.6428,2.450153042,1.440673805,2.317744662,1.165133635,0.112782335,0.5,U05,-4.045867308,H18
CB,18,-685.2453983,2646.6428,2.443942375,1.521629027,2.27575496,1.150958456,0.191980849,0.75,U05,-4.045867308,H18
CB,18,-685.7348714,2646.232052,2.271866037,1.951070208,2.200786614,1.598097755,0.191210649,0.25,U28,-4.015549667,H19
CB,18,-685.7348714,2646.232052,2.393106197,1.709828482,2.338217054,1.489453902,0.191210649,0.5,U28,-4.015549667,H19
CB,18,-685.7348714,2646.232052,2.499204776,1.759119438,2.417355599,1.435360199,0.192514258,0.75,U28,-4.015549667,H19
CB,18,-686.8006267,2645.802287,2.323496931,2.380792537,2.257682401,1.923598873,0.198945814,0.25,U12,-3.853821773,H31
